"object_id";"object_code";"object_name";"object_type";"status";"path";"parent_id";"icon";"create_date"
1;"revenue";"revenue";1;1;"";0;"";"2017-10-01 21:12:11"
2;"revenue.customer";"revenue.customer";1;1;"/manager/customer.zul";1;"images/khach_hang.jpg";"2017-10-01 21:12:11"
3;"revenue.contract";"revenue.contract";1;1;"/manager/contract.zul";1;"images/hop_dong.png";"2017-10-01 21:13:02"
4;"revenue.construction";"revenue.construction";1;1;"/manager/construction.zul";1;"";"2017-10-06 20:47:03"
5;"revenue.pump";"pump";1;1;"/manager/pumps.zul";1;"images/bom.png";"2017-10-06 20:47:03"
6;"revenue.location";"location";1;1;"/manager/location.zul";1;"";"2017-10-06 20:47:03"
7;"revenue.bills";"bills";1;1;"/manager/bills.zul";1;"images/phieu_bom.png";"2017-10-06 20:47:03"
8;"administrator";"administrator";1;1;"";0;"";"2017-10-06 20:47:28"
9;"administrator.user";"administrator.user";1;1;"/manager/user.zul";8;"images/user1.jpg";"2017-10-06 20:48:30"
10;"administrator.role";"administrator.role";1;1;"/manager/role.zul";8;"";"2017-10-06 20:48:30"
11;"staff";"staff";1;1;"";0;"";"2017-10-06 20:48:47"
12;"staff.staff";"staff";1;1;"/manager/staff.zul";11;"images/nhan_vien.jpg";"2017-10-06 20:50:04"
14;"rent.pump";"rent.pump";1;1;"/manager/rentequipment.zul";1;"";"2017-10-25 07:36:15"
15;"report";"report";1;1;"";0;"";"2017-10-26 15:12:03"
16;"reportMass";"report.reportMass";1;1;"/report/reportMonth.zul";15;"";"2017-10-28 00:55:12"
17;"administrator.param";"administrator.param";1;1;"/manager/param.zul";8;"";"2017-10-30 07:47:27"
18;"approve";"approve";3;1;"";0;"";"2017-11-05 14:59:22"
19;"distribute";"distribute.title";1;1;"/manager/distribute.zul";1;"";"2017-11-07 16:44:50"
20;"reportQuantity";"report.reportQuantity";1;1;"/report/reportQuantity.zul";15;"";"2017-11-10 02:46:33"
